Attrition_Probability,MonthlyIncome,DistanceFromHome,WorkLifeBalance,JobSatisfaction,OverTime_Yes,YearsSinceLastPromotion
0.9123413164388423,2340,24,1,4,True,0
0.9054441762368074,1675,22,2,3,True,0
0.9002566055588737,1878,5,3,2,True,0
0.8911911291182109,1569,3,4,4,True,0
0.8874838029242471,1091,24,3,1,False,0
0.8833552819975837,1359,1,3,3,False,0
0.8698503361677655,2439,24,2,4,True,1
0.864871105673047,1420,3,3,3,False,0
0.8639268941297722,2413,19,3,2,True,0
0.8623040650991491,1416,10,2,1,False,1
0.8597373763954206,2293,25,2,3,False,0
0.857586041243061,2564,2,4,4,False,0
0.8572880716498185,1102,2,2,4,False,1
0.8542113645922147,3172,9,2,1,True,0
0.8523611792693685,2851,5,3,3,True,0
0.8470026513960124,1118,24,3,4,True,1
0.844356400836282,1859,10,4,2,True,0
0.8418749504959322,2408,24,3,2,True,0
0.8391623862577123,2121,21,4,2,True,0
0.8332660849941381,2319,1,3,1,True,0
0.8281786735949502,2926,6,3,4,True,1
0.8261206297980535,2600,11,3,1,True,0
0.8239206897573347,2472,7,3,2,True,0
0.8212352354122804,1081,9,2,4,False,0
0.8187327311568703,2398,8,3,1,True,0
0.8159871271450649,2716,12,3,2,False,0
0.808301463767027,1790,9,2,1,False,1
0.8073860089382496,1601,6,3,1,True,0
0.8065877887104116,2795,25,1,4,True,0
0.805711386617825,2323,9,3,4,True,0
0.8011971503324589,2679,7,3,2,False,1
0.7968408728362386,2028,24,3,3,True,0
0.7932280483648484,2033,12,4,1,False,0
0.7919753596702789,2561,2,2,1,False,0
0.7881913917799973,1261,8,4,2,False,0
0.7878105521606141,8446,5,2,2,True,7
0.7860335990676532,2285,4,3,4,True,0
0.7857748052723236,2325,1,4,1,False,0
0.7847900588068,1200,10,3,3,False,0
0.7818641314763781,2132,22,3,3,True,0
0.7808103971887662,9907,2,2,2,True,2
0.7784779725198433,10448,24,2,1,True,2
0.7765872494552213,2377,21,2,3,False,0
0.7746248637225425,2335,13,3,1,True,2
0.773701067603815,8564,16,2,1,True,0
0.7732649066573952,1904,8,3,3,False,0
0.7725393879775322,2313,25,3,2,True,2
0.7633627867625032,13695,13,2,3,True,3
0.7616570594435281,2432,5,3,3,True,0
0.7609740674266107,2785,2,4,4,False,0
0.7600542211340362,2373,16,3,2,True,0
0.759251182867877,5304,19,2,4,True,0
0.758972780357411,2596,1,3,2,False,0
0.758563718655957,3646,2,4,1,True,0
0.7543389494194284,2515,12,2,4,True,0
0.7520806269950158,1009,10,3,3,True,1
